Wall time,Step,Value
1639315141.5403078,0,0.09840990602970123
1639315902.544343,1,0.08453656733036041
1639316661.1614032,2,0.08020180463790894
1639317419.4451885,3,0.07678665220737457
1639318179.0434763,4,0.07385183125734329
1639318937.7415175,5,0.07148991525173187
1639319696.2440608,6,0.06938977539539337
1639320456.7591937,7,0.06770774722099304
1639321215.8477643,8,0.06639062613248825
1639321974.942702,9,0.06507955491542816
1639322735.837627,10,0.06437124311923981
1639323495.8562272,11,0.06310337036848068
1639324256.5534368,12,0.06214900687336922
1639325016.4665196,13,0.061309412121772766
1639325776.278741,14,0.06043587252497673
1639326536.6436229,15,0.059896230697631836
1639327298.8545578,16,0.0606689415872097
1639328058.728378,17,0.0592757873237133
1639328820.463867,18,0.05858096852898598
1639329580.9553392,19,0.05829070135951042
1639330347.3432238,20,0.05730566382408142
1639331107.4489646,21,0.0568547286093235
1639331868.1755748,22,0.05668892338871956
1639332629.8273818,23,0.05597605183720589
1639333390.4529324,24,0.05610458180308342
1639334155.8739057,25,0.055527545511722565
1639334917.4237852,26,0.05467106029391289
1639335678.250343,27,0.0545755997300148
1639336438.8396044,28,0.05417484790086746
1639337199.1476285,29,0.053615741431713104
1639337959.154904,30,0.05317787453532219
1639338720.228229,31,0.05322398617863655
1639339478.120029,32,0.05385485291481018
1639340238.3500142,33,0.052712518721818924
1639340999.440084,34,0.05243070423603058
1639341760.540139,35,0.05260446295142174
1639342521.8416135,36,0.05197913199663162
1639343282.2689812,37,0.05179266631603241
1639344041.4350975,38,0.05136910453438759
1639344803.5196073,39,0.05140000209212303
1639345569.3402915,40,0.051031701266765594
1639346330.5564256,41,0.05112872272729874
1639347091.5268278,42,0.050640445202589035
1639347853.1253877,43,0.050066590309143066
1639348616.2292426,44,0.04984765127301216
1639349377.750124,45,0.04965802654623985
1639350138.1472492,46,0.04973231628537178
1639350900.1710224,47,0.04973931983113289
1639351662.234519,48,0.049627404659986496
1639352422.466917,49,0.04904954880475998
1639353185.3455255,50,0.04913290962576866
1639353947.3942237,51,0.0485055074095726
1639354708.5389986,52,0.04832596704363823
1639355470.2414336,53,0.047844044864177704
1639356231.9526541,54,0.05222838744521141
1639356993.1665227,55,0.04808131232857704
1639357753.457681,56,0.04751373454928398
1639358515.2560952,57,0.04720645397901535
1639359276.6472151,58,0.049312151968479156
1639360039.2414443,59,0.04712703451514244
1639360802.3564641,60,0.047241438180208206
1639361564.0309448,61,0.04677899181842804
1639362324.0466475,62,0.047109343111515045
1639363087.2473416,63,0.04702237248420715
1639363847.649728,64,0.04672347009181976
1639364609.6278722,65,0.04723639041185379
1639365370.4320316,66,0.04628833755850792
1639366132.4280143,67,0.046132683753967285
1639366894.05796,68,0.045878078788518906
1639367654.7279205,69,0.04609481245279312
1639368416.9303262,70,0.048226796090602875
1639369178.0501146,71,0.04632502421736717
1639369940.3404348,72,0.04629657417535782
1639370703.7287323,73,0.04618960991501808
1639371466.5572557,74,0.04610748961567879
1639372228.3674972,75,0.04538821056485176
1639372991.226887,76,0.04497165232896805
1639373754.6778667,77,0.04498421028256416
1639374515.0218937,78,0.04476313665509224
1639375275.9532304,79,0.04483013227581978
1639376039.656638,80,0.044658076018095016
1639376799.3604438,81,0.04419316351413727
